match_status,match_score,match_reasons,vacancy_adres,vacancy_score_totaal,vacancy_prioriteit,candidate_address_text,candidate_description,candidate_omv_nummer,candidate_decision_status,candidate_decision_date,candidate_public_inquiry_start,candidate_public_inquiry_end,candidate_source,candidate_detail_url
geen_match,,,,,,Charlotta Finckstraat 2 te 2660 Hoboken (Antwerpen),"verbouwen van een gemengd gebouw naar 3 woonentiteiten en een gelijkvloerse dareca, na gedeeltelijke sloop van het gebouw (",OMV_2026026302,GOEDGEKEURD,26/06/2026,,,antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/31422752-12c2-44c4-889a-3fbe0fc13e92
geen_match,,,,,,Scheldelaan zonder nummer te 2040 Antwerpen,slopen van 20 technische gebouwen en bouwen van twee relaisgebouwen; een wijziging door het vervangen van een noodgenerator en diverse transformatoren en een uitbreiding met warmtepompen (,OMV_2025130095,GOEDGEKEURD,23/06/2026,,,antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/c8efee48-a9fc-4c8d-b69e-665e850ba47a
geen_match,,,,,,Verlatstraat 6-8 te 2000 Antwerpen,"slopen van de bestaande constructie met uitzondering van een deel van de voorgevel en 1 scheidingsmuur, en het bouwen van een meergezinswoning met 2 wooneenheden en een gelijkvloerse functie detailhandel (",OMV_2026008170,GOEDGEKEURD,19/06/2026,,,antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/cb60f2cf-b853-467e-b4c5-773329c04977
mogelijke_match,70,straat | postcode,"Nationalestraat 137, 2000 Antwerpen",57.4,C,"Groenplaats 44, Nationalestraat 5-5B te 2000 Antwerpen","slopen van een schoolgebouw en de nieuwbouw van een gemengd gebouw met 99 wooneenheden, 6 handelsunits en 1 reca-unit; exploiteren van warmtepompen, lozen van huishoudelijk afvalwater en een bemaling met bijstelling lozingsvoorwaarde (",OMV_2025131517,GOEDGEKEURD,05/06/2026,,,antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/39e67db2-42a6-45e4-831b-e49cb1f8c0d9
geen_match,,,,,,Lichtenberglaan 36 2660 te Hoboken (Antwerpen),verbouwen van een oprit (karrespoor) en slopen van een niet-vergunde garage (,OMV_2026020110,GOEDGEKEURD,05/06/2026,,,antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/3ca10281-b1d9-4210-8238-24f564a3f563
mogelijke_match,70,straat | postcode,"Lange Scholiersstraat 114, 2060 Antwerpen",47.5,C,Lange Scholiersstraat 71 te 2060 Antwerpen,verbouwen en uitbreiden van een eengezinswoning na het slopen van een deel van het bouwvolume (,OMV_2026019240,GOEDGEKEURD,05/06/2026,,,antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/92989881-7a14-47b2-bf8d-4924ca50512d
mogelijke_match,70,straat | postcode,"Louisalei 65, 2660 Hoboken",31.3,D,Louisalei 48 te 2660 Hoboken (Antwerpen),"doorvoeren van wijzigingen zonder vergunning, slopen van een fietsberging en isoleren van een blinde zijgevel van een eengezinswoning (",OMV_2026009494,GOEDGEKEURD,29/05/2026,,,antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/483011e1-0b0e-494c-8012-63d40b555121
mogelijke_match,70,straat | postcode,"Lakborslei 65, 2100 Deurne",62.5,B,Lakborslei zonder nummer (zn) te 2100 Deurne (Antwerpen),slopen van een bijgebouw op het Sint-Fredeganduskerkhof en wijzigen van de scheidingsmuur (,OMV_2026028826,GOEDGEKEURD,29/05/2026,,,antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/cc4f3a47-e533-4241-b745-62b213b488e3
mogelijke_match,70,straat | postcode,"Lakborslei 2, 2100 Deurne",58.3,C,Lakborslei zonder nummer (zn) te 2100 Deurne (Antwerpen),slopen van een bijgebouw op het Sint-Fredeganduskerkhof en wijzigen van de scheidingsmuur (,OMV_2026028826,GOEDGEKEURD,29/05/2026,,,antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/cc4f3a47-e533-4241-b745-62b213b488e3
mogelijke_match,70,straat | postcode,"Lakborslei 67, 2100 Deurne",57.0,C,Lakborslei zonder nummer (zn) te 2100 Deurne (Antwerpen),slopen van een bijgebouw op het Sint-Fredeganduskerkhof en wijzigen van de scheidingsmuur (,OMV_2026028826,GOEDGEKEURD,29/05/2026,,,antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/cc4f3a47-e533-4241-b745-62b213b488e3
mogelijke_match,70,straat | postcode,"Lakborslei 168, 2100 Deurne",46.6,C,Lakborslei zonder nummer (zn) te 2100 Deurne (Antwerpen),slopen van een bijgebouw op het Sint-Fredeganduskerkhof en wijzigen van de scheidingsmuur (,OMV_2026028826,GOEDGEKEURD,29/05/2026,,,antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/cc4f3a47-e533-4241-b745-62b213b488e3
geen_match,,,,,,Transcontinentaalweg 6 te 2030 Antwerpen.,"Slopen van twee silobatterijen, bouwen van twee hoogspanningscabines en aanleg verhardingen; Op- en overslagbedrijf: verandering. (",OMV_2025131558,GOEDGEKEURD,28/05/2026,,,antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/cd2149ff-026e-4ce0-acce-d69c7bd0b4b5
geen_match,,,,,,"Dennenlaan 15A te 2020 Antwerpen, Dennenlaan 15-15A te 2020 Antwerpen en Dennenlaan 15A te 2020 Antwerpen",slopen en nieuwbouw van een eengezinswoning en exploiteren van geothermische warmtepompen en een bemaling (,OMV_2026010426,GOEDGEKEURD,22/05/2026,,,antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/323b407e-c236-4c1e-a1a7-38f55b902625
geen_match,,,,,,Spillemansstraat 8 te 2140 Borgerhout (Antwerpen),verbouwen en uitbreiden van een eengezinswoning na het slopen van de bestaande aanbouw (,OMV_2026004373,GOEDGEKEURD,22/05/2026,,,antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/9c00810f-d462-4a08-ae19-dfe41462fd5e
mogelijke_match,70,straat | postcode,"Bosstraat 19, 2040 Bezali",30.9,D,Bosstraat 1 te 2040 Berendrecht-Zandvliet-Lillo (Antwerpen),"afbreken van bestaande bebouwing, het bouwen van 18 appartementen met een ondergrondse parkeerkelder, het aanleggen van een wadi en het rooien van bomen; het exploiteren van een tijdelijke bronbemaling en het plaatsen van lucht-waterwarmtepompen (",OMV_2025032939,GEWEIGERD,21/05/2026,,,antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/749e2f73-012b-4b51-bf0c-cd81fb8f4a4e
mogelijke_match,70,straat | postcode,"Bosstraat 18, 2040 Bezali",30.0,D,Bosstraat 1 te 2040 Berendrecht-Zandvliet-Lillo (Antwerpen),"afbreken van bestaande bebouwing, het bouwen van 18 appartementen met een ondergrondse parkeerkelder, het aanleggen van een wadi en het rooien van bomen; het exploiteren van een tijdelijke bronbemaling en het plaatsen van lucht-waterwarmtepompen (",OMV_2025032939,GEWEIGERD,21/05/2026,,,antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/749e2f73-012b-4b51-bf0c-cd81fb8f4a4e
geen_match,,,,,,Mullhouselaan-Noord 166-168 te 2030 Antwerpen en Vosseschijnstraat 51 te 2030 Antwerpen,Het slopen van magazijnen en de omvorming tot een containerterminal; Een uitbreiding met de opslag van niet-IMDG goederen. (,OMV_2025123348,GOEDGEKEURD,21/05/2026,,,antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/e28bec68-255d-4e86-a06c-c44f7ead0db3
geen_match,,,,,,Campus Drie Eiken,"Fort VI-straat, Universiteitsplein, Edegemsesteenweg te 2610 Wilrijk (Antwerpen) - slopen van een gedeelte van de bestaande bebouwing, het verbouwen en uitbreiden van de bestaande loodsen, het gedeeltelijk ontbossen van het perceel, het aanleggen van verhardingen en het doorvoeren van reliëfwijzigingen en het verder exploiteren na wijziging en uitbreiding van campuscentrum voor kunst en cultuur Drie Eiken (",OMV_2025083069,GOEDGEKEURD,21/05/2026,,,antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/cbe422ed-1c3e-4a76-8b20-4aa5db93145d
geen_match,,,,,,Zandvoort 338 te 2030 Antwerpen. en Zandvoort 332 te 2030 Antwerpen.,"Slopen van magazijn, uitbreiden van parkeergebouw, bouwen kantoor, plaatsen van constructies en aanhorigheden; terminal voor voertuigen en niet-IMDG-goederen: verandering en hernieuwing. (",OMV_2025024900,,,02/07/2026,31/07/2026,antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/d6ee1f15-7b95-4e9c-8323-be1d5e506d19
geen_match,,,,,,Kloosterstraat 114-116 te 2000 Antwerpen,slopen van 2 panden en bouwen van een gemengd gebouw met op het gelijkvloers een detailhandel en op de verdiepingen 6 woonentiteiten (,OMV_2026062371,,,01/07/2026,30/07/2026,antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/c21312d3-cddd-4a80-a72f-841f16fee54c
geen_match,,,,,,Hulgenrodestraat Zn te 2150 Borsbeek (Antwerpen),slopen van een bestaande loods en bouwen van 4 eengezinswoningen (,OMV_2026042873,,,30/06/2026,29/07/2026,antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/c372907f-3d6f-47b6-8972-6998eec6b8b6
mogelijke_match,70,straat | postcode,"Scheldestraat 26, 2000 Antwerpen",57.6,C,"Graaf van Egmontstraat 2-8, Scheldestraat 38, Vlaamsekaai 1 te 2000 Antwerpen","slopen van de volledige, bestaande bebouwing en oprichten van een meergezinswoning met 10 wooneenheden en 2 commerciële ruimtes en exploiteren van warmtepompen en een bronbemaling in het kader van bouwkundige werken (",OMV_2026021192,,,29/06/2026,28/07/2026,antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/3206ad79-0671-4dde-b0bd-890952ffdf44
geen_match,,,,,,"Van Diepenbeeckstraat 67, 71 te 2018 Antwerpen","herbouwen van een gargagewerkplaats met magazijn in binnengebied tot een synagoge na sloop, en het exploiteren van de technieken (",OMV_2026010711,,,28/06/2026,27/07/2026,antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/b18e1747-6794-44b4-b68e-0dad9f188b90
geen_match,,,,,,Verschansingstraat 36-38 te 2000 Antwerpen,slopen van de bestaande bebouwing en bouwen van een meergezinswoning met 7 wooneenheden met ondergrondse parkeergarage; exploiteren van een tijdelijke bemaling voor de uitvoering van dit nieuwbouwproject (,OMV_2026028810,,,27/06/2026,26/07/2026,antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/c55a474a-7609-4100-ba22-4195a8621277
geen_match,,,,,,Welvaartstraat 72-74 te 2000 Antwerpen,oprichten van een meergezinswoning met 8 appartementen na sloop en exploiteren van een warmtepomp (,OMV_2026047638,,,27/06/2026,26/07/2026,antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/3a3651d6-eb39-4baf-ab5b-e5f81aa4a851
geen_match,,,,,,Verbondstraat 65-67A te 2000 Antwerpen,"slopen van bestaande bebouwing, bouwen van een sportcomplex, woongelegenheden met ondergrondse parking en exploiteren van warmtepompen en een tijdelijke bronbemaling in functie van de werken (",OMV_2024142206,,,22/06/2026,21/07/2026,antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/5d4aba44-c257-4f8d-8510-7a890868d675
mogelijke_match,70,straat | postcode,"Lamorinièrestraat 20, 2018 Antwerpen",75.2,A,"Lamorinièrestraat 274, Mechelsesteenweg 267 te 2018 Antwerpen",oprichten van een nieuwbouw met 58 appartementen en een casco ruimte voor diensten na sloop; de aanleg van een verticale bodem warmtewisselaarsysteem (gesloten bron) bestaande uit 15 boringen ten behoeve van de klimatisatie van 58 wooneenheden en een collectief systeem gekoppeld aan 4 grote lucht-waterwarmtepompen (,OMV_2026032518,,,11/06/2026,10/07/2026,antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/51722edc-9f6c-414f-a361-99126ac7f360
mogelijke_match,70,straat | postcode,"Mechelsesteenweg 165, 2018 Antwerpen",71.3,B,"Lamorinièrestraat 274, Mechelsesteenweg 267 te 2018 Antwerpen",oprichten van een nieuwbouw met 58 appartementen en een casco ruimte voor diensten na sloop; de aanleg van een verticale bodem warmtewisselaarsysteem (gesloten bron) bestaande uit 15 boringen ten behoeve van de klimatisatie van 58 wooneenheden en een collectief systeem gekoppeld aan 4 grote lucht-waterwarmtepompen (,OMV_2026032518,,,11/06/2026,10/07/2026,antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/51722edc-9f6c-414f-a361-99126ac7f360
mogelijke_match,70,straat | postcode,"Lamorinièrestraat 149, 2018 Antwerpen",70.2,B,"Lamorinièrestraat 274, Mechelsesteenweg 267 te 2018 Antwerpen",oprichten van een nieuwbouw met 58 appartementen en een casco ruimte voor diensten na sloop; de aanleg van een verticale bodem warmtewisselaarsysteem (gesloten bron) bestaande uit 15 boringen ten behoeve van de klimatisatie van 58 wooneenheden en een collectief systeem gekoppeld aan 4 grote lucht-waterwarmtepompen (,OMV_2026032518,,,11/06/2026,10/07/2026,antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/51722edc-9f6c-414f-a361-99126ac7f360
mogelijke_match,70,straat | postcode,"Mechelsesteenweg 106, 2018 Antwerpen",67.2,B,"Lamorinièrestraat 274, Mechelsesteenweg 267 te 2018 Antwerpen",oprichten van een nieuwbouw met 58 appartementen en een casco ruimte voor diensten na sloop; de aanleg van een verticale bodem warmtewisselaarsysteem (gesloten bron) bestaande uit 15 boringen ten behoeve van de klimatisatie van 58 wooneenheden en een collectief systeem gekoppeld aan 4 grote lucht-waterwarmtepompen (,OMV_2026032518,,,11/06/2026,10/07/2026,antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/51722edc-9f6c-414f-a361-99126ac7f360
mogelijke_match,70,straat | postcode,"Mechelsesteenweg 13, 2018 Antwerpen",52.0,C,"Lamorinièrestraat 274, Mechelsesteenweg 267 te 2018 Antwerpen",oprichten van een nieuwbouw met 58 appartementen en een casco ruimte voor diensten na sloop; de aanleg van een verticale bodem warmtewisselaarsysteem (gesloten bron) bestaande uit 15 boringen ten behoeve van de klimatisatie van 58 wooneenheden en een collectief systeem gekoppeld aan 4 grote lucht-waterwarmtepompen (,OMV_2026032518,,,11/06/2026,10/07/2026,antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/51722edc-9f6c-414f-a361-99126ac7f360
mogelijke_match,70,straat | postcode,"Belgiëlei 7, 2018 Antwerpen",80.3,A,Belgiëlei 143 te 2018 Antwerpen,"deels slopen en verbouwen van een pand met de functie bedrijvigheid naar de functie gemeenschapsvoorziening, exploiteren van een warmtepomp (",OMV_2025062153,,,09/06/2026,08/07/2026,antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/83267669-1c47-46f8-9948-45797dd7de8c
mogelijke_match,70,straat | postcode,"Belgiëlei 136, 2018 Antwerpen",63.4,B,Belgiëlei 143 te 2018 Antwerpen,"deels slopen en verbouwen van een pand met de functie bedrijvigheid naar de functie gemeenschapsvoorziening, exploiteren van een warmtepomp (",OMV_2025062153,,,09/06/2026,08/07/2026,antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/83267669-1c47-46f8-9948-45797dd7de8c
mogelijke_match,70,straat | postcode,"Belgiëlei 59, 2018 Antwerpen",60.4,B,Belgiëlei 143 te 2018 Antwerpen,"deels slopen en verbouwen van een pand met de functie bedrijvigheid naar de functie gemeenschapsvoorziening, exploiteren van een warmtepomp (",OMV_2025062153,,,09/06/2026,08/07/2026,antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/83267669-1c47-46f8-9948-45797dd7de8c
geen_match,,,,,,Solvynsstraat 39A-41 te 2018 Antwerpen,"slopen van een deel van de bestaande bebouwing, bouwen van een meergezinswoning met 5 wooneenheden, en het verbouwen van de achterbouw en het binnengebied (",OMV_2026040930,,,08/06/2026,07/07/2026,antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/6dc00b80-a7d8-4d9d-b283-396cd11c75e5
geen_match,,,,,,"Gustaaf Garittestraat 1 te 2600 Berchem (Antwerpen), Gustaaf Garittestraat 17, Keizershoevestraat 15-17 te 2610 Wilrijk (Antwerpen)","slopen van een schoolgebouw, fietsenberging en twee luifels en bouwen van een schoolgebouw en het exploiteren van een warmtepomp op het dak (",OMV_2026041251,,,08/06/2026,07/07/2026,antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/65a735fa-4487-4615-b67a-e8c36527a470
geen_match,,,,,,Industrieweg 16 te 2030 Antwerpen en Industrieweg 16 2030 Antwerpen,sloop van een tankenpark met aanhorigheden; wijziging van een op- en overslagbedrijf (,OMV_2025154259,,,06/06/2026,05/07/2026,antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/75798a24-8347-49fc-a94b-09c14f045ab9
